PMID,Title,Authors,Journal/Book,Publication Year
29854155,The Dependence of Machine Learning on Electronic Medical Record Quality,"Ho LV, Ledbetter D, Aczon M, Wetzel R.",AMIA Annu Symp Proc,2017
29854217,A Semantic Parsing Method for Mapping Clinical Questions to Logical Forms,"Roberts K, Patra BG.",AMIA Annu Symp Proc,2017
29854185,Representation of Social History Factors Across Age Groups: A Topic Analysis of Free-Text Social Documentation,"Lindemann EA, Chen ES, Wang Y, Skube SJ, Melton GB.",AMIA Annu Symp Proc,2017
29854161,Framing Electronic Medical Records as Polylingual Documents in Query Expansion,"Huang EW, Wang S, Lee DJ, Zhang R, Liu B, Zhou X, Zhai C.",AMIA Annu Symp Proc,2017
29854237,A Multi-Task Framework for Monitoring Health Conditions via Attention-based Recurrent Neural Networks,"Suo Q, Ma F, Canino G, Gao J, Zhang A, Veltri P, Agostino G.",AMIA Annu Symp Proc,2017
29854154,Mining Electronic Health Records to Extract Patient-Centered Outcomes Following Prostate Cancer Treatment,"Hernandez-Boussard T, Kourdis PD, Seto T, Ferrari M, Blayney DW, Rubin D, Brooks JD.",AMIA Annu Symp Proc,2017
29854220,Electronic Surveillance For Catheter-Associated Urinary Tract Infection Using Natural Language Processing,"Sanger PC, Granich M, Olsen-Scribner R, Jain R, Lober WB, Stapleton A, Pottinger PS.",AMIA Annu Symp Proc,2017
29854116,Detecting Evidence of Intra-abdominal Surgical Site Infections from Radiology Reports Using Natural Language Processing,"Chapman AB, Mowery DL, Swords DS, Chapman WW, Bucher BT.",AMIA Annu Symp Proc,2017
29854105,Intelligent Word Embeddings of Free-Text Radiology Reports,"Banerjee I, Madhavan S, Goldman RE, Rubin DL.",AMIA Annu Symp Proc,2017
29854175,Leveraging existing corpora for de-identification of psychiatric notes using domain adaptation,"Lee HJ, Zhang Y, Roberts K, Xu H.",AMIA Annu Symp Proc,2017
29854204,Evaluation of Semantic Web Technologies for Storing Computable Definitions of Electronic Health Records Phenotyping Algorithms,"Papež V, Denaxas S, Hemingway H.",AMIA Annu Symp Proc,2017
29854186,Detecting Opioid-Related Aberrant Behavior using Natural Language Processing,"Lingeman JM, Wang P, Becker W, Yu H.",AMIA Annu Symp Proc,2017
29854129,Detection of Suicidality in Adolescents with Autism Spectrum Disorders: Developing a Natural Language Processing Approach for Use in Electronic Health Records,"Downs J, Velupillai S, George G, Holden R, Kikoler M, Dean H, Fernandes A, Dutta R.",AMIA Annu Symp Proc,2017
29854174,Exploiting Unlabeled Texts with Clustering-based Instance Selection for Medical Relation Classification,"Kim Y, Riloff E, Meystre SM.",AMIA Annu Symp Proc,2017
29854225,Leveraging Collaborative Filtering to Accelerate Rare Disease Diagnosis,"Shen F, Liu S, Wang Y, Wang L, Afzal N, Liu H.",AMIA Annu Symp Proc,2017
29854117,Deep Learning Solutions for Classifying Patients on Opioid Use,"Che Z, St Sauver J, Liu H, Liu Y.",AMIA Annu Symp Proc,2017
29854264,Identifying Falls Risk Screenings Not Documented with Administrative Codes Using Natural Language Processing,"Zhu VJ, Walker TD, Warren RW, Jenny PB, Meystre S, Lenert LA.",AMIA Annu Symp Proc,2017
29854260,Contralateral Breast Cancer Event Detection Using Nature Language Processing,"Zeng Z, Li X, Espino S, Roy A, Kitsch K, Clare S, Khan S, Luo Y.",AMIA Annu Symp Proc,2017
29854121,Predicting Inpatient Acute Kidney Injury over Different Time Horizons: How Early and Accurate?,"Cheng P, Waitman LR, Hu Y, Liu M.",AMIA Annu Symp Proc,2017
29854183,A hybrid Neural Network Model for Joint Prediction of Presence and Period Assertions of Medical Events in Clinical Notes,"Rumeng L, Abhyuday N J, Hong Y.",AMIA Annu Symp Proc,2017
29854254,Learning Doctors' Medicine Prescription Pattern for Chronic Disease Treatment by Mining Electronic Health Records: A Multi-Task Learning Approach,"Xia E, Mei J, Xie G, Li X, Li Z, Xu M.",AMIA Annu Symp Proc,2017
29854208,Challenges with Collecting Smoking Status in Electronic Health Records,"Polubriaginof F, Salmasian H, Albert DA, Vawdrey DK.",AMIA Annu Symp Proc,2017
29854236,Causal Phenotyping for Susceptibility to Cardiotoxicity from Antineoplastic Breast Cancer Medications,"Sun D, Simon GJ, Skube S, Blaes AH, Melton GB, Zhang R.",AMIA Annu Symp Proc,2017
29854110,"Exhaustively Characterizing a Patient Cohort by Prevalence of EMR Facts: a Generalized, Vendor-Agnostic Method for Quality Control and Research","Alex F B, Olin GP, Bos A, Tirado-Ramos A, Kittrell P, Jackson C.",AMIA Annu Symp Proc,2017
29854246,Classifying Clinical Trial Eligibility Criteria to Facilitate Phased Cohort Identification Using Clinical Data Repositories,"Wang AY, Lancaster WJ, Wyatt MC, Rasmussen LV, Fort DG, Cimino JJ.",AMIA Annu Symp Proc,2017
29854176,A Framework for Data Quality Assessment in Clinical Research Datasets,"Lee K, Weiskopf N, Pathak J.",AMIA Annu Symp Proc,2017
29854124,Evaluation of a systematic methodology to detect in near real-time performance changes during electronic health record system implementations: a longitudinal study,"Colicchio TK, Fiol GD, Stoddard GJ, Narus SP.",AMIA Annu Symp Proc,2017
29854255,Predicting Changes in Pediatric Medical Complexity using Large Longitudinal Health Records,"Xu Y, Bahadori MT, Searles E, Thompson M, Javier TS, Sun J.",AMIA Annu Symp Proc,2017
30815052,Ascertaining Depression Severity by Extracting Patient Health Questionnaire-9 (PHQ-9) Scores from Clinical Notes,"Adekkanattu P, Sholle ET, DeFerio J, Pathak J, Johnson SB, Campion TR Jr.",AMIA Annu Symp Proc,2018
30815053,A Computable Phenotype for Acute Respiratory Distress Syndrome Using Natural Language Processing and Machine Learning,"Afshar M, Joyce C, Oakey A, Formanek P, Yang P, Churpek MM, Cooper RS, Zelisko S, Price R, Dligach D.",AMIA Annu Symp Proc,2018
30815058,Generalized Extraction and Classification of Span-Level Clinical Phrases,"Baldwin T, Guo Y, Mukherjee VV, Syeda-Mahmood T.",AMIA Annu Symp Proc,2018
