,Citation_Number,PMID,Ref,Link,Source,Title,Authors,JournalorConference,Year,Abstract,Ensemble,Include_TA_JG,Primary_reason_for_exclusion_TA_JG,Explanation_TA_JG,Update_April,Include_TA_SY,Primary_reason_for_exclusion_TA_SY,Explanation_TA_SY,Include_FR_SY,Primary_reason_for_exclusion_FR_SY,Explanation_FR_SY,Primary_goals,Phenotype,Pheno_cluster_category,Pheno_temporal_category,Pheno_SDOH_category,Pheno_binary,Pheno_categorical,Pheno_continuous,Pheno_temporal,Pheno_severity,Pheno_SDOH,Pheno_subtype_subgroup,Total_number_of_phenos,Data_source,Multi_sites_data,Research_network_name,Openly_available_data,Competition_data_name,Additional_data,Country,Institution_data_size,Study_cohort_size,Unstructured_data_type,Unstructured_data_language,Structured_data_type,CDM,Terminology,Traditional_ML_method,DL_method,CNN_subname,RNN_subname,FFNN_subname,BERT_subname,ML_type,Labels_for_training,Labels_for_testing,Embedding,Embedding_training_data,Training_size,Validating_size,Testing_size,NLP_software,Additional_ML_classification,Compare_with_rule_based,Compare_with_traditional_ML,Model_performance_metrics,Best_performing_model,Best_performing_name,Best_performing_AUROC,Best_performing_Fscore,Best_performing_PPV,Best_performing_Sensitivity,Best_performing_NPV,Best_performing_Specificity,Best_comparator_Rule,Best_comparator_Rule_AUROC,Best_comparator_Rule_Fscore,Best_comparator_Rule_PPV,Best_comparator_Rule_Sensitivity,Best_comparator_Rule_NPV,Best_comparator_Rule_Specificity,Best_comparator_DL,Best_comparator_DL_AUROC,Best_comparator_DL_Fscore,Best_comparator_DL_PPV,Best_comparator_DL_Sensitivity,Best_comparator_DL_Specificity,Best_comparator_traditional,Best_comparator_traditional_AUROC,Best_comparator_traditional_Fscore,Best_comparator_traditional_PPV,Best_comparator_traditional_Sensitivity,Best_comparator_traditional_NPV,Best_comparator_traditional_Specificity,Additional_traditional_ML,Additional_traditional_AUROC,Additional_traditional_Fscore,Additional_traditional_Fscore_PPV,Additional_traditional_Sensitivity,Additional_traditional_NPV,Additional_traditional_Specificity,Additional_DL,Additional_DL_AUROC,Additional_DL_Fscore,Additional_DL_PPV,Additional_DL_Sensitivity,Class_imbalance_method,Fairness_metrics,Fairness_validation_subgroups,Reported_demographics,Open_code,Open_code_link,Open_algorithm_details,Primary_contribution
7,30,29705196,30,https://www.sciencedirect.com/science/article/pii/S1532046418300765?via%3Dihub,Both,Automatic address validation and health record review to identify homeless Social Security disability applicants,"Erickson J, Abbott K, Susienka L.",J Biomed Inform,2018,"Objective: Homeless patients face a variety of obstacles in pursuit of basic social services. Acknowledging this, the Social Security Administration directs employees to prioritize homeless patients and handle their disability claims with special care. However, under existing manual processes for identification of homelessness, many homeless patients never receive the special service to which they are entitled. In this paper, we explore address validation and automatic annotation of electronic health records to improve identification of homeless patients.Materials and Methods: We developed a sample of claims containing medical records at the moment of arrival in a single office. Using address validation software, we reconciled patient addresses with public directories of homeless shelters, veterans' hospitals and clinics, and correctional facilities. Other tools annotated electronic health records. We trained random forests to identify homeless patients and validated each model with 10-fold cross validation.Results: For our finished model, the area under the receiver operating characteristic curve was 0.942. The random forest improved sensitivity from 0.067 to 0.879 but decreased positive predictive value to 0.382.Discussion: Presumed false positive classifications bore many characteristics of homelessness. Organizations could use these methods to prompt early collection of information necessary to avoid labor-intensive attempts to reestablish contact with homeless individuals. Annually, such methods could benefit tens of thousands of patients who are homeless, destitute, and in urgent need of assistance.Conclusion: We were able to identify many more homeless patients through a combination of automatic address validation and natural language processing of unstructured electronic health records.",,1,,,NA,1,,,1,,,"This paper used NLP methods to annotate the claims data for the identification of homelessness, and then used SVM to construct prediction models",Homelessness,,,,1,NA,NA,NA,NA,NA,NA,1,Minnesota Disability Determination Services,0,,0,,Claims data,US,33420 disability claims,4628 claims,Claim notes,English,Demographics,,UMLS,Random forest,,,,,,Supervised,NLP mentions ,NLP mentions ,,,4166 patients,,462 patients,MetaMap; NegEx,,,,AUROC; Accuracy; Recall; Specificity; Precision; NPV,,Random forest,0.942,,0.382,0.879,0.987,0.871,,,,,,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,0,0,,,Application
22,NA,30815083,31,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371264/,Both,Application of Machine Learning Methods to Predict Non-Alcoholic Steatohepatitis (NASH) in Non-Alcoholic Fatty Liver (NAFL) Patients,"Fialoke S, Malarstig A, Miller MR, Dumitriu A.",AMIA,2018,"Non-alcoholic fatty liver disease (NAFLD) is the leading cause of chronic liver disease worldwide. NAFLD patients have excessive liver fat (steatosis), without other liver diseases and without excessive alcohol consumption. NAFLD consists of a spectrum of conditions: benign steatosis or non-alcoholic fatty liver (NAFL), steatosis accompanied by inflammation and fibrosis or nonalcoholic steatohepatitis (NASH), and cirrhosis. Given a lack of clinical biomarkers and its asymptomatic nature, NASH is under-diagnosed. We use electronic health records from the Optum Analytics to (1) identify patients diagnosed with benign steatosis and NASH, and (2) train machine learning classifiers for NASH and healthy (non-NASH) populations to (3) predict NASH disease status on patients diagnosed with NAFL. Summarized temporal lab data for alanine aminotransferase, aspartate aminotransferase, and platelet counts, with basic demographic information and type 2 diabetes status were included in the models.",,1,,,NA,1,,,1,,,This paper used a large dataset and supervised ML to identify patients with NASH,Non-alcoholic fatty liver disease,,,,1,NA,NA,NA,NA,NA,NA,1,Optum Analytic,0,,0,,Administrative claims,US,80 million patients,100000 patients,,,Demographics; Diagnosis; Lab results,,ICD-9/10,Logistic regression; Decision trees; Random forest; XGBoost,,,,,,Supervised,Chart review,Chart review,,,100K patients,,No test set,,,,,Accuracy; Precision; Recall; F-score; Matthews Correlation Coefficient ; AUROC; Log loss,,XGBoost,0.876,0.791,0.808,0.774,,,,,,,,,NA,,,,,NA,NA,Random forest,0.87,0.786,0.804,0.768,NA,NA,Decision tree,0.842,0.764,0.786,0.745,,NA,,NA,NA,NA,NA,Undersampling,,,1,0,,,Application
57,33,32308824,33,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153050/,Both,Predicting Adverse Drug Reactions on Distributed Health Data using Federated Learning,"Choudhury O, Park Y, Salonidis T, Gkoulalas-Divanis A, Sylla I, Das AK.",AMIA,2019,"Using electronic health data to predict adverse drug reaction (ADR) incurs practical challenges, such as lack of adequate data from any single site for rare ADR detection, resource constraints on integrating data from multiple sources, and privacy concerns with creating a centralized database from person-specific, sensitive data. We introduce a federated learning framework that can learn a global ADR prediction model from distributed health data held locally at different sites. We propose two novel methods of local model aggregation to improve the predictive capability of the global model. Through comprehensive experimental evaluation using real-world health data from 1 million patients, we demonstrate the effectiveness of our proposed approach in achieving comparable performance to centralized learning and outperforming localized learning models for two types of ADRs. We also demonstrate that, for varying data distributions, our aggregation methods outperform state-of-the-art techniques, in terms of precision, recall, and accuracy.",,1,,,NA,1,,,1,,,This paper developed federated learning with 3 ML models and phenotyping 2 adverse reactions. It incorporates cost-sensitive approach to deal with class imbalance. The federated learning can perform as well as the centralized learning and has a pronounced impact on the recall score.,Opioid abuse; Extrapyramida symptom,,,Health and health care; NA,2,NA,NA,NA,NA,1,NA,2,IBM Explorys database,0,,0,,Administrative claims,US,,1 million patients,,,Demographics; Diagnosis; Medications; Lab results; Procedures,,ICD-9/10,SVM; Single-layer perceptron; Logistic regression,,,,,,Supervised,Medication prescriptions; ICD codes,Medication prescriptions; ICD codes,,,812734 patients; 60672 patients,,348344 patients; 26002 patients,,Federated learning,,,Precision; Recall; Accuracy,,Perceptron,,,0.9; 0.93,0.75; 0.74,,,,,,,,,NA,,,,,NA,NA,SVM,,,0.89; 0.96,0.69; 0.74,NA,NA,,,,,,,NA,,NA,NA,NA,NA,Cost-sensitive learning,,,0,0,,,Method
75,34,32970677,34,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0236400,Both,Deep neural network models for identifying incident dementia using claims and EHR datasets,"Nori VS, Hane CA, Sun Y, Crown WH, Bleicher PA.",PLoS One,2020,"This study investigates the use of deep learning methods to improve the accuracy of a predictive model for dementia, and compares the performance to a traditional machine learning model. With sufficient accuracy the model can be deployed as a first round screening tool for clinical follow-up including neurological examination, neuropsychological testing, imaging and recruitment to clinical trials. Seven cohorts with two years of data, three to eight years prior to index date, and an incident cohort were created. Four trained models for each cohort, boosted trees, feed forward network, recurrent neural network and recurrent neural network with pre-trained weights, were constructed and their performance compared using validation and test data. The incident model had an AUC of 94.4% and F1 score of 54.1%. Eight years removed from index date the AUC and F1 scores were 80.7% and 25.6%, respectively. The results for the remaining cohorts were between these ranges. Deep learning models can result in significant improvement in performance but come at a cost in terms of run times and hardware requirements. The results of the model at index date indicate that this modeling can be effective at stratifying patients at risk of dementia. At this time, the inability to sustain this quality at longer lead times is more an issue of data availability and quality rather than one of algorithm choices.",,1,,,NA,1,,,1,,,This paper used DL models to identify incident dementia where the labels are defined by rules.,Dementia,,,,1,NA,NA,NA,NA,NA,NA,1,Optum Analytic,0,,0,,Claims,US,,Not mentioned,Clinical notes,English,Diagnosis; Procedures; Medications; Demographics,,ICD-9/10; CPT,,RNN; FFNN,,Bi-LSTM,Not specified,,Supervised,Rule-based algorithm,Rule-based algorithm,Not specified,Unstructured EHR,12056641 patients,1722697 patients,3448482 patients,,,,Boosted trees,AUROC; F-score,DL,Bi-LSTM,0.944,0.541,,,,,,,,,,,NA,FFNN,0.931,0.461,,NA,NA,Boosted trees,0.924,0.446,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,1,0,,,Application
76,35,33712852,35,https://academic.oup.com/jamia/article-abstract/28/7/1507/6169465?redirectedFrom=fulltext,Both,Electronic phenotyping of health outcomes of interest using a linked claims-electronic health record database: Findings from a machine learning pilot project,"Gibson TB, Nguyen MD, Burrell T, Yoon F, Wong J, Dharmarajan S, Ouellet-Hellstrom R, Hua W, Ma Y, Baro E, Bloemers S, Pack C, Kennedy A, Toh S, Ball R.",J Am Med Inform Assoc,2021,"Objective: Claims-based algorithms are used in the Food and Drug Administration Sentinel Active Risk Identification and Analysis System to identify occurrences of health outcomes of interest (HOIs) for medical product safety assessment. This project aimed to apply machine learning classification techniques to demonstrate the feasibility of developing a claims-based algorithm to predict an HOI in structured electronic health record (EHR) data.Materials and Methods: We used the 2015-2019 IBM MarketScan Explorys Claims-EMR Data Set, linking administrative claims and EHR data at the patient level. We focused on a single HOI, rhabdomyolysis, defined by EHR laboratory test results. Using claims-based predictors, we applied machine learning techniques to predict the HOI: logistic regression, LASSO (least absolute shrinkage and selection operator), random forests, support vector machines, artificial neural nets, and an ensemble method (Super Learner).Results: The study cohort included 32 956 patients and 39 499 encounters. Model performance (positive predictive value [PPV], sensitivity, specificity, area under the receiver-operating characteristic curve) varied considerably across techniques. The area under the receiver-operating characteristic curve exceeded 0.80 in most model variations.Discussion: For the main Food and Drug Administration use case of assessing risk of rhabdomyolysis after drug use, a model with a high PPV is typically preferred. The Super Learner ensemble model without adjustment for class imbalance achieved a PPV of 75.6%, substantially better than a previously used human expert-developed model (PPV = 44.0%).Conclusions: It is feasible to use machine learning methods to predict an EHR-derived HOI with claims-based predictors. Modeling strategies can be adapted for intended uses, including surveillance, identification of cases for chart review, and outcomes research.",Ensemble,1,,,NA,1,,,1,,,"This paper used ML to identify rhabdomyolysis, which outperforms rule-based methods ",Rhabdomyolysis,,,,1,NA,NA,NA,NA,NA,NA,1,IBM Explorys database,0,,0,,Claims,US,5 million patients,32956 patients; 39499 encounters,,,Lab results; Demographics; Procedures; Encounters; Medications; Diagnosis,Sentinel,LOINC,Logistic regression; L1 logistic regression; Random forest; SVM,,,,,,Supervised,Lab results,Lab results,,,26364 patients,,6592 patients,,,Rule-based,,AUROC; Recall; Specificity; Precision,Traditional ML,Super Learner,0.822,,0.756,0.253,,,Rule-based,0.751,,0.44,0.512,,NA,FFNN,0.77,,0.096,0.48,NA,Random forest,0.842,,0.116,0.721,NA,NA,,,,,,,NA,,NA,NA,NA,NA,Oversampling,,,1,0,,,Application
83,36,34086825,36,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0252903,PubMed,External validation of a claims-based model to predict left ventricular ejection fraction class in patients with heart failure,"Mahesri M, Chin K, Kumar A, Barve A, Studer R, Lahoz R, Desai RJ.",PLoS One,2021,"Background Ejection fraction (EF) is an important prognostic factor in heart failure (HF), but administrative claims databases lack information on EF. We previously developed a model to predict EF class from Medicare claims. Here, we evaluated the performance of this model in an external validation sample of commercial insurance enrollees. Methods Truven MarketScan claims linked to electronic medical records (EMR) data (IBM Explorys) containing EF measurements were used to identify a cohort of US patients with HF between 01-01-2012 and 10-31-2019. By applying the previously developed model, patients were classified into HF with reduced EF (HFrEF) or preserved EF (HFpEF). EF values recorded in EMR data were used to define gold-standard HFpEF (LVEF ≥45%) and HFrEF (LVEF<45%). Model performance was reported in terms of overall accuracy, positive predicted values (PPV), and sensitivity for HFrEF and HFpEF. Results A total of 7,001 HF patients with an average age of 71 years were identified, 1,700 (24.3%) of whom had HFrEF. An overall accuracy of 0.81 (95% CI: 0.80–0.82) was seen in this external validation sample. For HFpEF, the model had sensitivity of 0.96 (95%CI, 0.95–0.97) and PPV of 0.81 (95% CI, 0.81–0.82); while for HFrEF, the sensitivity was 0.32 (95%CI, 0.30–0.34) and PPV was 0.73 (95%CI, 0.69–0.76). These results were consistent with what was previously published in US Medicare claims data. Conclusions The successful validation of the Medicare claims-based model provides evidence that this model may be used to identify patient subgroups with specific EF class in commercial claims databases as well.",,1,,,NA,1,,,1,,,This paper used logistic regression and linear regression to classify patients into 2 ejection fraction classes using 2 EHR database.,Heart failure with preserved ejection fraction; Heart failure with reduced ejection fraction,,,,2,NA,NA,NA,NA,NA,NA,2,IBM Explorys database,0,,0,,Medicare claims,US,235 million; 50 million,157203 patients,,,Demographics; Diagnosis; Medications,,ICD-9/10; CPT; NDC (National drug codes),L1 logistic regression; L1 linear regression,,,,,,Supervised,Lab results,Lab results,,,7001 patients,,Not mentioned,,,,,Accuracy; Precision; Recall,,,,,0.81;0.73,0.96;0.32,,,,,,,,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,Accuracy; PPV; Sensitivity,Age; Race,1,0,,,Evaluation
26,37,30815195,37,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371284/,Both,Identifying Cases of Metastatic Prostate Cancer Using Machine Learning on Electronic Health Records,"Seneviratne MG, Banda JM, Brooks JD, Shah NH, Hernandez-Boussard TM.",AMIA,2018,"Cancer stage is rarely captured in structured form in the electronic health record (EHR). We evaluate the performance of a classifier, trained on structured EHR data, in identifying prostate cancer patients with metastatic disease. Using EHR data for a cohort of 5,861 prostate cancer patients mapped to the Observational Health Data Sciences and Informatics (OHDSI) data model, we constructed feature vectors containing frequency counts of conditions, procedures, medications, observations and laboratory values. Staging information from the California Cancer Registry was used as the ground-truth. For identifying patients with metastatic disease, a random forest model achieved precision and recall of 0.90, 0.40 using data within 12 months of diagnosis. This compared to precision 0.33, recall 0.54 for an ICD code-based query. High-precision classifiers using hundreds of structured data elements significantly outperform ICD queries, and may assist in identifying cohorts for observational research or clinical trial matching.",,1,,,NA,1,,,1,,,This paper used several ML methods to identify cancer cases which outperforms ICD-code search method,Metastatic prostate cancer,,,,1,NA,NA,NA,NA,NA,NA,1,Stanford Health Care,0,OHDSI,0,,California cancer registry,US,,5861 patients,,,Diagnosis; Procedures; Medications; Observations; Lab results,OMOP,ICD-9,L1 logistic regression; Random forest;  XGBoost,,,,,,Supervised,Registry,Registry,,,4689 patients,,1172 patients,,,ICD coding,,Precision; Recall,Traditional ML,Random forest,,,0.9,0.4,,,ICD coding,,,0.33,0.54,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,Oversampling (SMOTE),,,0,0,,,Evaluation
51,38,32025650,38,https://academic.oup.com/jamiaopen/article/2/4/528/5571423,Both,Using natural language processing to construct a metastatic breast cancer cohort from linked cancer registry and electronic medical records data,"Ling AY, Kurian AW, Caswell-Jin JL, Sledge GW Jr, Shah NH, Tamang SR.",JAMIA Open,2019,"Objectives: Most population-based cancer databases lack information on metastatic recurrence. Electronic medical records (EMR) and cancer registries contain complementary information on cancer diagnosis, treatment and outcome, yet are rarely used synergistically. To construct a cohort of metastatic breast cancer (MBC) patients, we applied natural language processing techniques within a semisupervised machine learning framework to linked EMR-California Cancer Registry (CCR) data.Materials and Methods: We studied all female patients treated at Stanford Health Care with an incident breast cancer diagnosis from 2000 to 2014. Our database consisted of structured fields and unstructured free-text clinical notes from EMR, linked to CCR, a component of the Surveillance, Epidemiology and End Results Program (SEER). We identified de novo MBC patients from CCR and extracted information on distant recurrences from patient notes in EMR. Furthermore, we trained a regularized logistic regression model for recurrent MBC classification and evaluated its performance on a gold standard set of 146 patients.Results: There were 11 459 breast cancer patients in total and the median follow-up time was 96.3 months. We identified 1886 MBC patients, 512 (27.1%) of whom were de novo MBC patients and 1374 (72.9%) were recurrent MBC patients. Our final MBC classifier achieved an area under the receiver operating characteristic curve (AUC) of 0.917, with sensitivity 0.861, specificity 0.878, and accuracy 0.870.Discussion and Conclusion: To enable population-based research on MBC, we developed a framework for retrospective case detection combining EMR and CCR data. Our classifier achieved good AUC, sensitivity, and specificity without expert-labeled examples.",,1,,,NA,1,,,1,,,"This paper linked registries data and EMR data to use the logistic regression to classify the cancer, which outperformed a rule-based methods.",Metastatic breast cancer,,,,1,NA,NA,NA,NA,NA,NA,1,Stanford Health Care,0,,0,,Cancer registry,US,,18674 patients,Clinical notes,English,Diagnosis; Procedures; Medications,,UMLS; SPECIALIST Lexicon,L2 logistic regression,,,,,,Weakly-supervised,NLP mentions,Chart review,,,8892 patients,,146 records,CLEVER ,,ICD coding,,AUROC; Recall; Specificity; Precision; NPV; F-score; Accuracy,Traditional ML,L2 penalized logistic regression,,0.967,0.873,0.861,,0.878,ICD coding,,,0.63,0.93,,0.47,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,Undersampling,,,1,0,,,Application
39,39,31499184,39,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7136846/,Both,Pathway analysis of genomic pathology tests for prognostic cancer subtyping,"Lyudovyk O, Shen Y, Tatonetti NP, Hsiao SJ, Mansukhani MM, Weng C.",J Biomed Inform,2019,"Genomic test results collected during the provision of medical care and stored in Electronic Health Record (EHR) systems represent an opportunity for clinical research into disease heterogeneity and clinical outcomes. In this paper, we evaluate the use of genomic test reports ordered for cancer patients in order to derive cancer subtypes and to identify biological pathways predictive of poor survival outcomes. A novel method is proposed to calculate patient similarity based on affected biological pathways rather than gene mutations. We demonstrate that this approach identifies subtypes of prognostic value and biological pathways linked to survival, with implications for precision treatment selection and a better understanding of the underlying disease. We also share lessons learned regarding the opportunities and challenges of secondary use of observational genomic data to conduct such research.",,1,,,NA,1,,,1,,,This paper used unsupervised hierarchical clustering to calculate patient similarity based on affected biological pathways rather than gene mutations,Breast cancer; Lung cancer; Squamous cell lung cancer; Endometrial cancer; Glioblastoma multiforme; Head and neck squamous cell carcinoma; Colon cancer; Rectal cancer; Bladder cancer; Kidney cancer; Ovarian cancer; Acute myeloid leukaemia,Disease progression,Disease progression/trajectory,,NA,12,NA,1,NA,NA,12,12,NewYork Presbyterian Hospital; Columbia University Medical Center,1,OHDSI,0,,NYP Tumor Registry,US,,1554 patients; 38776 patients,Genomic test reports,English,Diagnosis; Medications,,SNOMED-CT; ICD-O-3 topology codes,UPGMA Hierarchical clustering,,,,,,Unsupervised,,,One-hot encoding,Structured EHR,1165 patients,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,1,0,,,Application
72,40,33594412,40,https://academic.oup.com/jamia/article/28/6/1265/6140019,Both,A high-throughput phenotyping algorithm is portable from adult to pediatric populations,"Geva A, Liu M, Panickan VA, Avillach P, Cai T, Mandl KD.",J Am Med Inform Assoc,2021,"Objective: Multimodal automated phenotyping (MAP) is a scalable, high-throughput phenotyping method, developed using electronic health record (EHR) data from an adult population. We tested transportability of MAP to a pediatric population.Materials and Methods: Without additional feature engineering or supervised training, we applied MAP to a pediatric population enrolled in a biobank and evaluated performance against physician-reviewed medical records. We also compared performance of MAP at the pediatric institution and the original adult institution where MAP was developed, including for 6 phenotypes validated at both institutions against physician-reviewed medical records.Results: MAP performed equally well in the pediatric setting (average AUC 0.98) as it did at the general adult hospital system (average AUC 0.96). MAP's performance in the pediatric sample was similar across the 6 specific phenotypes also validated against gold-standard labels in the adult biobank.Conclusions: MAP is highly transportable across diverse populations and has potential for wide-scale use.",,1,,,NA,1,,,1,,,This paper used MAP to show its portability and transportability across populations on 11 phenotypes.,Asthma; Crohn's disease; Ulcerative colitis; Cardiomyopathy; Congestive heart failure; Epilepsy; Juvenile rheumatoid arthritis; Chronic pulmonary heart disease; Type 1 diabetes mellitus; Cardiovascular disease; Inflammatory bowel disease ,,,,11,NA,NA,NA,NA,NA,NA,11,Boston Children's Hospital ,0,i2b2,0,,Registry,US,,14303 patients,Clinical notes,English,Diagnosis; Demographics,,Phecode; UMLS; ICD,MAP,,,,,,Weakly-supervised,ICD codes and NLP mentions,Chart review; Registry,,,14303 patients; 36800 patients,,171 patients,NILE,,,,NPV; AUROC,,MAP,0.9;1;1;0.99;0.99;0.99;0.98;0.98;1;0.93;0.95;0.95,,,,,0.8;1;1;0.92;0.93;0.91;0.88;0.92;1;0.8;0.94;0.82,,,,,,,NA,,,,,NA,NA,,,,,,NA,NA,,,,,,,NA,,NA,NA,NA,NA,,,,1,0,,CELES,Evaluation
